stem,long,translation,n
fahrverbind,fährverbindung,ferry connection,280
kehrtwend,kehrtwende,the turnaround,280
weiterles,weiterlesen,read more,279
krisenpaket,krisenpaket,crisis package,277
milky,milky,milky,277
verbringt,verbringt,night together,277
koppel,koppel,"paddock, n",276
teamkolleg,teamkolleg,team colleague,276
zweitbeliebt,zweitbeliebteste,second most popular,276
hamst,hamster,nick,275
freundschaftsspiel,freundschaftsspiel,exhibition game,274
rentenversicher,rentenversicherung,rentenversicherung,274
shaqiri,shaqiri,xherdan shaqiri,274
zagreb,zagreb,zagreb,274
alaba,alaba,alaba,273
austria,austria,austria,272
lavilleni,lavillenie,"in renaud lavillenie, you will be coming up against the world record holder in this discipline",271
milliardenzuwend,milliardenzuwendungen,billions in grants,271
tabellenfuhr,tabellenführer,table leader,271
dolic,dolic,dolic,270
robin,robin,robin,270
ebit,ebit,ebit,268
konigslini,königslinie,royal line,268
monarchin,monarchin,monarch,268
xavi,xavi,xavi,268
samstagvormittag,samstagvormittag,saturday morning,267
tostmann,tostmann,andreas tostmann,267
europapolit,europapolitik,european policy,266
jason,jason,jason,266
skov,skov,dorte skov,266
smejkal,smejkal,smejkal,266
wirecard,wirecard,wirecard,266
charlèn,charlène,charlène,265
manning,manning,manning,265
paragraf,paragraf,paragraph,265
wuchtig,wuchtig,bulky,265
jonathan,jonathan,jonathan,264
angerichtet,angerichtet,dinner is served,263
barley,barley,barley,263
beitragsrabatt,beitragsrabatt,premium discount,263
oberhaus,oberhaus,upper house,263
sozialpartn,sozialpartner,social partners,262
trainingslag,trainingslager,training camp,262
unentschied,unentschieden,don't know,262
haftbefehl,haftbefehl,warrant of arrest,261
recklinghaus,recklinghausen,recklinghausen,261
wikileak,wikileaks,wikileaks,261
juristin,juristin,solicitor,260
kickl,kickl,kickl-zwickl,259
maischberg,maischberger,maischberger,259
abba,abba,abba,258
hildmann,hildmann,attila hildmann,258
hodcroft,hodcroft,hodcroft,258
moderiert,moderiert,moderated,258
kubicki,kubicki,kubicki,257
milan,milan,kite,257
stella,stella,stella,257
vettel,vettel,hag,257
achtelfinal,achtelfinal,you've been invited to a round of 16 game,256
jessica,jessica,jessica,256
sanofi,sanofi,sanofi,256
bundnisstaat,bündnisstaat,confederation,255
explodi,explodieren,in a fire,255
roth,roth,roth,255
singt,singt,sings,255
carlson,carlson,carlson,254
haushaltsfuhr,haushaltsführung,housekeeping,254
nagelsmann,nagelsmann,nail man,254
siebentag,siebentägige,seven-day check,254
talent,talente,talents,254
nordjutland,nordjütland,north jutland (dk,253
ampel,ampel,signal light on,252
belmarsh,belmarsh,belmarsh,252
kriegsverbrech,kriegsverbrechen,war crimes,252
derby,derby,derby,251
freshfocus,freshfocus,freshfocus,251
verhandlungstag,verhandlungstag,negotiation day,251
baku,baku,baku,250
kautionsauflag,kautionsauflagen,he continues to violate his bail obligations,250
rosskopf,roßkopf,michael roßkopf,250
roundup,roundup,roundup,250
verhandlungskreis,verhandlungskreise,negotiating circles,250
didi,didi,didi,249
erik,erik,erik,249
huawei,huawei,huawei,249
jauch,jauch,yeah,249
taktisch,taktisch,tactical,249
lambrecht,lambrecht,h. lambrecht,248
ojdiu,ojdiu,ojdiu,248
trikot,trikot,number,248
wunsiedel,wunsiedel,wunsiedel,248
gustav,gustav,gustav,247
karlsson,karlsson,karlsson,247
aufgebot,aufgebot,allocation,246
dombrovskis,dombrovskis,dombrovskis,246
flensburg,flensburg,flensburg,246
gramm,gramm,gramm,246
brinkhaus,brinkhaus,brinkhaus,245
chart,charte,charter,245
darmstadt,darmstadt,darmstadt,245
icelandair,icelandair,icelandair,245
elektro,elektro,elctric,243
europameist,europameister,european champion,242
steigert,steigert,increases,242
frida,frida,frida,241
ostdeutschland,ostdeutschland,eastern germany,241
ferrari,ferrari,ferrari,240
lohnausfall,lohnausfall,"<g id=""1"">i.</g><g id=""2""> </g><g id=""3"">loss of earnings</g>",240
grundwert,grundwerte,core values,239
inzidenzwert,inzidenzwert,incidence value,239
nobelpreis,nobelpreis,the nobel prize,239
hammarby,hammarby,hammarby,238
jahresvergleich,jahresvergleich,annual comparison,238
petkovic,petkovic,petkovic,238
abkehr,abkehr,turning away,237
erlebnis,erlebnis,experience,237
serb,serbe,he is a bosnian serb,237
mobel,möbel,furniture,236
denis,denis,denis,235
oberasch,oberascher,monika oberascher,235
ritzau,ritzau,ritzau,235
rudy,rudy,rudy blum,235
tesla,tesla,tesla,235
ecuadorian,ecuadorianische,ecuadorian sucre,234
hochzeitstag,hochzeitstag,wedding anniversary,234
karolin,karolin,karolin zutt,234
klarna,klarna,klarna,234
schust,schuster,schuster,234
wurdigt,würdigt,acknowledges,234
astrid,astrid,becoming astrid,233
fjof,fjof,fjof,233
ligu,ligue,ligue 1,233
lambert,lambert,lambert,232
nadal,nadal,toni nadal,232
nico,nico,nico,232
ausgedruckt,ausgedruckt,printed,231
croton,crotone,crotone,231
kantonal,kantonale,cantonal,231
ranking,ranking,ranking,231
werl,werl,werl,231
zweitligist,zweitligist,second division,231
bezugsrecht,bezugsrechts,subscription right,230
postet,postet,posted by,230
dazn,dazn,in addition,229
foulelfmet,foulelfmeter,foul penalty,229
freitagvormittag,freitagvormittag,friday morning,229
freundin,freundin,freundin,229
jungholz,jungholz,jungholz,229
photo,photo,photo,229
stad,stade,stade,229
abfed,abfedern,cushion,228
britta,britta,britta,228
fabian,fabian,fabian,228
aufdeck,aufdecken,uncover,227
aufschrift,aufschrift,inscription,226
kottbullar,köttbullar,köttbullar,226
weid,weid,graze,226
beharrt,beharrt,persists,225
domin,domine,domine,225
jahreswechsel,jahreswechsel,year changer,225
vermittlerroll,vermittlerrolle,mediator role,225
duplantis,duplantis,duplantis,224
fixier,fixierung,fixation ex,224
fruhsomm,frühsommer,early summer,224
karnevalssitz,karnevalssitzung,carnival session,224
milot,milot,milot,224
polytechn,polytechn,polytechn,224
snus,snus,snus,224
ueli,ueli,for ueli,224
basaksehir,basaksehir,basaksehir,223
edit,edit,edit,223
konrad,konrad,konrad,223
nationalelf,nationalelf,national team,223
oberpfalz,oberpfalz,upper palatinate,223
reingekomm,reingekommen,how did he get in,223
chong,chong,lin tat chong,222
aftonbladet,aftonbladet,aftonbladet,221
claudio,claudio,claudio,221
marburg,marburg,marburg,221
massasj,massasje,massasje,221
positionspapi,positionspapier,position paper,221
ackermann,ackermann,mr. ackermann,220
lyngstad,lyngstad,lyngstad,220
nanai,nanai,nanai,220
stadtpark,stadtpark,city park,219
ausreisesperr,ausreisesperre,exit ban,218
dolor,dolor,dolor,218
gesek,geseke,geseke,218
alba,alba,alba,217
bauwerk,bauwerk,structure,217
einhorn,einhorn,unicorn,217
exklav,exklave,exclave stone pieces,217
leserbrief,leserbrief,letter to the editor,217
zalando,zalando,zalando,217
alliiert,alliiert,allied,216
mikael,mikael,mikael,216
rasmus,rasmus,rasmus,216
sexismus,sexismus,sexism,216
stephani,stephani,ute stephani,216
ebitda,ebitda,ebitda,215
gesamtvolum,gesamtvolumen,total volume,215
gitarr,gitarre,guitar,215
marcus,marcus,marcus,215
moldawi,moldawien,moldova,215
herzogin,herzogin,duchess,214
rené,rené,rené,214
schimk,schimke,shame,214
upamecano,upamecano,upamecano,214
vincent,vincent,vincent roas,214
federico,federico,federico,213
landerspielpaus,länderspielpause,international break,213
reichstag,reichstag,parliament,213
torschutz,torschütze,goal scored by,213
hofmann,hofmann,hofmann,212
lapress,lapress,lapress,212
nationalrat,nationalrat,national council,212
stimmrechtsvertret,stimmrechtsvertreter,proxy,212
sperrt,sperrt,,211
wasserstoff,wasserstoff,hydrogen,211
euroraum,euroraum,euro area,210
dagbladet,dagbladet,svenska dagbladet,208
reformauflag,reformauflagen,reform requirements,208
ehrentag,ehrentag,honor day,207
flugplan,flugplan,flight plan,207
mittelfeldspiel,mittelfeldspieler,midfielder,207
norsk,norske,det norske veritas,207
porno,porno,porno,207
stadl,stadl,stadl barn,207
einzelgesprach,einzelgespräche,one-to-one face-to-face meetings,206
gesamtsumm,gesamtsumme,total amount,206
kommissionsvorschlag,kommissionsvorschlag,commission proposal,206
atlas,atlas,atlas,205
grundl,gründler,torsten gründler,205
septiembr,septiembre,september,205
stahl,stahl,steel,205
tdixfefo,tdixfefo,tdixfefo,205
hector,hector,hector,204
altersvorsorg,altersvorsorge,old-age provision,203
bamberg,bamberg,bamberg,203
coronazahl,coronazahlen,corona numbers,203
gruppenspiel,gruppenspiel,tipped group match,203
moment,momente,moments,203
schneidet,schneidet,cuts…saws,203
sverig,sverige,sweden,203
alii,alii,alii,202
augustinsson,augustinsson,augustinsson,202
bvdi,bvdi,bvdi,202
djokovic,djokovic,so who wins djokovic vs. federer,202
ausgestalt,ausgestalten,designing the idea,201
bazooka,bazooka,bazooka,201
belga,belga,belga,201
krisenhilf,krisenhilfe,crisis aid,201
pouls,poulsen,mari poulsen,201
renaud,renaud,renaud sornin,201
seifert,seifert,seifert,201
andy,andy,andy,200
tahith,tahith,tahith,200
whistleblowerin,whistleblowerin,whistleblower,200
bruttolohn,bruttolohn,gross wage,199
kylian,kylian,perfect gift for any kylian mbappé fan,199
sangerin,sängerin,singing,199
schwedinn,schwedinnen,swedish women,199
weltranglist,weltrangliste,world ranking,199
zech,zech,zech,199
gemeinschaftshaushalt,gemeinschaftshaushalt,community budget issues,198
haaland,haaland,haaland,198
vegan,vegan,vegan,198
aktivistin,aktivistin,"activist, estonia",197
chefcoach,chefcoach,head coach,197
hockey,hockey,hockey,197
holznagel,holznagel,wooden nail,197
kandidatur,kandidatur,the ideal candidate,197
porn,porn,#NAME?,197
sozialbehord,sozialbehörde,"since 2014, he has been working in the welfare office in the municipality of horgen",197
wahrungsunion,währungsunion,currency union,197
duda,duda,duda,196
finanzschwach,finanzschwache,financially weak,196
immungeschwacht,immungeschwächt,immunosuppressed,196
batteri,batterie,battery,195
gnabry,gnabry,gnabry,195
hallo,hallo,hi,195
kendrick,kendrick,kendrick,195
kofod,kofod,kofod,195
scanpix,scanpix,scanpix,195
tourne,tournee,tour,195
bereist,bereist,aready taken,194
europaministerin,europaministerin,minister of europe,194
jaroslav,jaroslav,jaroslav jokl,194
kino,kino,cinema,194
leitindex,leitindex,treasury index,194
leonardo,leonardo,the universe,194
newslett,newsletter,newsletter,194
thyssenkrupp,thyssenkrupp,thyssenkrupp,194
cruz,cruz,cruz,193
frauenanteil,frauenanteil,percentage of women 2019,193
furstin,fürstin,princess,193
harirtschi,harirtschi,harirtschi,193
mohnese,möhnesee,möhnesee,193
neos,neos,neos,193
preistrag,preisträge,award winners,193
quadratkilomet,quadratkilometer,square kilometre,193
rehbein,rehbein,deer leg,192
ulvaeus,ulvaeus,ulvaeus,192
geizig,geizig,i am cheap,191
heiratet,heiratet,getting married,191
kompromissbereit,kompromissbereit,be complementary,191
meuth,meuthen,their demand was for jörg meuthen to be removed from the guest list,191
schlaganfall,schlaganfall,stroke,191
eurogrupp,eurogruppe,eurogroup,190
feigheit,feigheit,cowardice,190
flick,flick,flick,190
brugg,brugg,brugg,189
filo,filo,phyllo dough,189
offenburg,offenburg,offenburg,189
punkto,punkto,regarding,189
verhelf,verhelfen,we help businesses,189
farm,farmen,granges,188
gastehaus,gästehaus,guest house,188
grundeinkomm,grundeinkommen,basic income,188
katamaran,katamaran,catamaran,188
lars,larsen,larsen,188
munz,munz,munz,188
reichtum,reichtum,wealth,188
capgemini,capgemini,capgemini,187
elon,elon,elon musk,187
freit,freitesten,freest,187
halbi,halbiere,1. slice the roll in half,187
karina,karina,karina,187
lippetal,lippetal,lippetal,187
migrationspolit,migrationspolitik,immigration policy,187
vergewaltigungsvorwurf,vergewaltigungsvorwurf,rape allegation,187
vucic,vucic,saso vucic,187
fehldeut,fehldeutung,misinterpretation,186
gemeinschaftsanleih,gemeinschaftsanleihe,community bond,186
jordan,jordan,15. jordan,186
nachspielzeit,nachspielzeit,extra time,186
verhandlungsvorschlag,verhandlungsvorschlag,negotiation proposal,186
weitergebildet,weitergebildet,always learning,186
zugesteh,zugestehen,assign rights at publication,186
flugangebot,flugangebot,flight offer,185
gegriff,gegriffen,the mark,185
jack,jack,jack,185
spielhall,spielhalle,arcade,185
touristenziel,touristenziel,tourist destination,185
wolt,wolter,jörg wolter,185
eingewechselt,eingewechselt,substitution on,184
vollzeitstell,vollzeitstelle,full-time position,184
zweitwohn,zweitwohnung,second home,184
alexia,alexia,alexia,183
alic,alice,alice,183
dpspob,dpspob,dpspob,183
exzellent,exzellent,excellent,183
felbermayr,felbermayr,felbermayr,183
geldpolit,geldpolit,monetary policy,183
gerundet,gerundet,after rounding,183
herd,herde,herd,183
hochsicherheitsgefangnis,hochsicherheitsgefängnis,maximum security prison,183
moris,moris,moris marchionna,183
tilgung,tilgung,repayment,183
millionar,millionär,millionaire,182
reto,reto,reto,182
skåne,skåne,skåne,182
tauscht,tauscht,,182
anwaltin,anwältin,exc,181
finanzpolit,finanzpolitik,financial policy,181
jury,jury,the jury,181
startplatz,startplatz,launch site,181
ikon,ikon,icon,180
jakob,jakob,jakob,180
laun,laune,mood,180
salzgitt,salzgitter,salzgitter,180
vorgesprach,vorgespräch,preliminary discussion,180
warstein,warstein,warstein,180
doppel,doppel,double,179
jepp,jeppe,jeppe holt,179
siegt,siegt,wins,179
