stem,long,translation,n
gansk,ganska,quite expensive,1617
lørdag,lørdag,saturday,1611
berg,berg,mountain,1605
lukk,lukk,close,1604
prosent,prosent,percent,1602
reis,reis,travel,1595
københavn,københavn,copenhagen,1590
behandling,behandling,processing,1584
följ,följ,follow,1579
ønsker,ønsker,wants,1577
sjuk,sjuk,broken,1574
hopp,hopp,hope,1571
strategi,strategi,strategy,1568
försök,försök,trial,1566
smittan,smittan,the infection,1565
rigt,rigt,rich,1560
symptom,symptom,symptoms,1551
rätt,rätt,correct,1548
stig,stig,path,1545
ansat,ansats,shoulder,1543
direk,direk,directly,1543
klokk,klokk,clock,1537
profess,professor,professor,1530
funger,fungera,to operate,1526
grad,grad,status,1524
tegnell,tegnell,tegell,1523
berät,berätta,tell,1521
mått,mått,dimensions,1519
snart,snart,soon,1519
nest,nestas,nestas,1517
tillbak,tillbaka,back,1514
dermed,dermed,related business areas,1513
kinesisk,kinesisk,china,1511
innebär,innebär,means,1507
vist,vist,shown,1504
dödsfall,dödsfall,death,1497
ökad,ökad,decreased,1496
statsminist,statsminister,prime minister,1493
restaurang,restaurang,restaurant,1485
betal,betal,charge,1484
ekonomisk,ekonomisk,financial,1474
början,början,amounts to,1468
fået,fået,received,1466
rapport,rapport,report,1466
forsk,forska,research,1463
universitet,universitet,university,1462
tillsamman,tillsammans,together,1453
spridning,spridning,spread,1450
omfat,omfatta,include,1449
styr,styr,control,1449
result,resultar,results,1447
företag,företag,entities,1446
direktør,direktør,ceo,1442
månad,månadar,months,1439
händ,hända,happen,1437
meld,melda,melda saroglu,1428
kräv,kräv,require,1423
konstater,konstatera,what do we have here,1420
annet,annet,other,1418
hittill,hittills,to date,1417
mett,mett,mett,1416
ritzau,ritzau,ritzau,1416
nord,nord,north point,1415
lätt,lätt,light,1414
fransk,fransk,french,1408
næste,næste,next,1406
stedet,stedet,up to the place where rachida was found,1403
nødvend,nødvendig,necessary,1400
aktuell,aktuell,current,1399
still,stilla,stilla,1394
fikk,fikk,did you deliver the letter,1383
bättr,bättra,improve,1381
publicer,publicera,onboard,1381
slut,slut,end,1381
sener,senere,talked later,1372
reuter,reuters,reuters,1368
gjør,gjør,am i,1366
sker,sker,done,1366
sjukdom,sjukdom,disease,1363
risiko,risiko,premieavsetningen shell dekke selskapets uavløpte risiko,1360
hotel,hotel,hotel,1359
sagd,sagda,my vote of conscience merely reflects what i have said,1357
livet,livet,life,1353
samhället,samhället,society,1353
lämn,lämna,leave,1351
forbind,forbind,connect,1347
årig,årig,3 year high school education,1342
valg,valg,please make sure to pick an option,1342
hvert,hvert,since they're about to shut down,1340
mulighed,mulighed,opportunity,1340
forts,fortsat,continued,1338
best,bestanden,files,1337
normalt,normalt,normal,1330
längr,längre,longer,1328
snabbt,snabbt,quickly,1320
tilfæld,tilfælde,cases,1320
delstat,delstatar,states,1317
störst,störst,biggest,1316
miljard,miljard,billion,1313
nedstängning,nedstängning,acute closure,1313
hjemm,hjemme,but they weren't there very much,1311
konsekvens,konsekvensar,consequences,1307
förr,förr,sooner,1306
lukket,lukket,but gripenberg has already shut the door,1303
gått,gått,expired,1298
erotisk,erotisk,eroticism,1295
kontroll,kontroll,inspection,1294
række,række,row,1292
bekräft,bekräfta,confirm,1289
forskel,forskel,difference,1284
utveckling,utveckling,development began,1284
frederiks,frederiksen,frederiksen,1278
nivå,nivå,level,1277
totalt,totalt,total,1277
risk,risken,the risk,1276
hver,hver,each,1274
post,posta,hammarland,1274
myndighedern,myndighederne,the authorities,1269
ändå,ändå,anyway,1266
invån,invånare,population,1264
mundbind,mundbind,mouthpiece,1261
skydd,skydd,protection,1258
annan,annan,other,1257
institut,institut,institute,1255
gælder,gælder,applies,1252
lill,lill,tiny,1250
alvor,alvoren,seriously,1247
parti,parti,lot,1246
beskriv,beskriva,describe,1243
skyld,skyld,uploaded to this sign,1243
egen,egen,own,1242
forsøg,forsøg,attempts,1242
byen,byen,the city,1241
frågan,frågan,this issue.&#x0d,1236
medan,medan,whereas,1228
utanför,utanför,outside,1227
ting,ting,ting,1226
søndag,søndag,sunday,1225
tredj,tredje,third,1225
litt,litt,a little,1224
sjukhus,sjukhus,hospital,1223
stigning,stigning,climbing flight,1222
uger,uger,weeks,1220
udenrigsministeriet,udenrigsministeriet,udenrigsministeriet asiatisk plads 2 dk - 1448 københavn k tlf,1213
runt,runt,around,1202
gjennom,gjennom,through,1199
veld,veld,veld,1197
forvent,forventa,expect,1196
tallet,tallet,century,1192
näst,näst,next,1188
flytt,flytt,relocation,1183
slag,slag,flogging,1183
indtil,indtil,until,1177
vaksin,vaksina,vaccine,1177
stann,stanna,remain,1175
kommet,kommet,come,1174
gjøre,gjøre,why should i do that,1173
paris,paris,paris,1172
påverk,påverka,to affect,1169
landen,landene,countries,1168
emot,emot,against,1167
nästan,nästan,almost,1165
regjering,regjering,government,1164
aflyst,aflyst,canceled,1161
italiensk,italiensk,italian,1156
helg,helg,weekend,1154
gennem,gennem,through,1150
særlig,særlig,especially,1145
england,england,england,1141
anför,anför,there are technical solutions,1135
digital,digital,digital,1135
plat,plata,plate,1132
følger,følger,follows,1131
michael,michael,michael,1126
morg,morgen,morning,1125
natur,natur,nature,1125
ekstr,ekstra,ekstra kvaliteet” as regards estonian butter,1121
borger,borgere,citizens,1120
dessutom,dessutom,moreover,1119
framtid,framtid,future,1118
udvikling,udvikling,development,1118
leagu,league,gold league,1116
aftal,aftale,agreement,1112
film,filma,shooting,1108
närm,närma,approach,1108
äldr,äldre,older,1106
gern,gerne,like,1106
elev,elev,student,1103
længer,længer,longer,1103
utveckl,utveckla,uplifted,1103
fatt,fatt,i've got it at work,1102
forskning,forskning,research,1101
gjeld,gjeld,debt,1100
bedst,bedst,"what spil, you can bedste lide at losses of time",1099
grænsen,grænsen,firewood fritidsboliger s grænsen 60,1098
åren,åren,years,1097
mask,mask,worm,1096
vurder,vurdera,assess,1094
gick,gick,went,1093
schweiz,schweiz,switzerland,1093
tagit,tagit,have taken the,1092
prat,prat,more talk,1091
framför,framför,in front of,1088
plats,platsen,locations,1088
anledning,anledning,reason,1087
vigt,vigtig,important,1086
begräns,begränsa,restrict,1083
social,sociala,social,1079
lagt,lagt,added,1078
oplys,oplyser,informs,1076
bidr,bidra,severe side,1073
fokus,fokus,input focus,1072
sprid,sprida,propagate,1072
likn,likna,similar to raw sugar,1071
european,european,european vip vacations,1070
mindst,mindst,mindst holdbar til or m.h,1070
bolaget,bolaget,the company,1069
mari,mari,"mari, syria",1069
taget,taget,content taken,1069
måsk,måske,maybe,1068
audio,audio,audio,1067
avstånd,avstånd,gap,1067
transport,transport,transportation,1065
bakom,bakom,behind,1063
minut,minut,minute,1063
tilbak,tilbake,continue shopping,1062
coronasmit,coronasmitta,coronary heart disease,1061
stöd,stöd,support,1060
undersøg,undersøg,examine,1060
john,john,john,1059
hurt,hurt,hurt,1057
chat,chat,online chat,1055
lind,lind,lime (linden,1055
ökning,ökning,increase,1051
ansv,ansv,responsible,1050
epidemi,epidemi,epidemic,1050
svår,svår,difficult,1045
kvartal,kvartal,quarter,1043
kald,kald,cold,1038
internationell,internationell,international,1037
menn,menn,men,1037
hvilket,hvilket,which,1035
sjukvård,sjukvård,services,1032
virke,virkelig,really,1032
avis,avis,avis rent a car system,1031
deltag,deltag,participate,1031
genomför,genomför,carry,1031
delt,delt,shared,1030
produk,produk,product,1030
produktion,produktion,production,1030
stod,stod,pillar,1029
vend,venda,venda,1029
enest,enesta,finally comments were submitted by enesta sp. z o.o,1028
verksam,verksam,active,1019
kommend,kommende,coming,1018
ramm,ramma,destroy,1018
uppman,uppmana,to prompt,1018
fortsæt,fortsæt,continue,1017
inget,inget,nothing,1015
situasjon,situasjon,situation,1015
allmän,allmän,general,1011
familj,familj,family,1011
linj,linja,line,1010
natt,natt,night,1008
match,matcha,match,1005
värst,värst,which is worse,1004
resenär,resenären,k2 - with the traveller at the centre,1000
undvik,undvik,avoid,997
ökar,ökar,increase,996
thom,thom,thom,994
publicationtim,publicationtime,publicationtime,993
børn,børn,children,992
løsning,løsning,monitorering af løsning,991
tidspunk,tidspunkt,time,989
nationell,nationell,national,988
afstand,afstand,distance,984
anställd,anställd,employee,984
stavang,stavanger,stavanger,984
österrik,österrikare,austrian,983
isoler,isolera,insulate,982
duration,duration,bond duration,978
hjelp,hjelp,thank you for your prompt and helpful help with this script,977
restaurant,restaurantar,restaurants,977
siffr,siffra,digit,972
iran,iran,iran,970
rask,rask,rasmus rask,970
yderliger,yderligere,further,970
aktivitet,aktivitet,activity,968
kring,kring,around,968
coronapandemin,coronapandemin,i feel confident about sweden's approach to this pandemic,967
slutet,slutet,circuit,967
spiller,spillere,players,967
midt,midt,marketing information data tapes (midt,965
myndighed,myndighed,authority,965
obligatorisk,obligatorisk,is required,963
audiotyp,audiotype,audio type,961
hårt,hårt,hard,961
steg,steg,steps,959
kvar,kvar,left,958
planer,planera,design,957
bank,banka,banka,954
medarbejder,medarbejdere,employees,954
nederländ,nederländarna,computerweg 10 3542 dr utrecht the netherlands,954
captionhtml,captionhtml,captionhtml,951
steng,stengd,closed,950
fysisk,fysisk,physical,949
imagetyp,imagetype,image type,949
träff,träff,hit,949
kritik,kritik,criticism,947
nyhet,nyhet,new,943
tillåt,tillåt,allows,943
også,også,also,942
trod,trods,despite,942
nedlukning,nedlukning,shutdown,941
christian,christian,christian,940
inlästartikel,inlästartikel,reading article,939
andel,andel,share,938
beslutning,beslutning,has adopted this decision,938
butikk,butikk,shop,935
japan,japan,ja,934
akti,aktie,share,933
smittetilfæld,smittetilfælde,cases of infection,932
kommit,kommit,come here,931
mass,massa,mass,931
jämfört,jämfört,versus,930
exempelvis,exempelvis,for example,928
samlet,samlet,overall,928
riksdag,riksdag,parliament,927
symtom,symtom,symptoms,927
feri,feriar,feriar,925
kend,kende,"in this case, we need the following additions",925
effektiv,effektiv,effective,924
marknad,marknadar,markets,924
grænser,grænser,borders,923
selskabet,selskabet,the company,923
kritisk,kritisk,critical,922
spansk,spansk,spanish,921
teknik,teknik,road technology,921
portugal,portugal,portugal,919
tiltak,tiltak,measures,919
drygt,drygt,just over,916
jämför,jämför,compare,915
oplev,opleve,experience,912
allem,allem,sale of fund robur allem komp,911
skad,skada,dama,911
erik,erik,erik,906
ulik,ulike,different addresses,906
hans,hansa,hansa,902
tillegg,tillegg,addition,902
nödvänd,nödvändig,necessary,901
trondheim,trondheim,trondheim,899
kost,kost,diet,897
anders,andersen,andersen,894
flyg,flyg,flight,893
karanten,karantene,quarantine,891
virk,virka,to crochet,891
höst,höst,autumn,890
ökat,ökat,increased,890
næsten,næsten,almost,889
polis,polis,police service,889
skal,skal,shell,889
chef,chef,manager,888
febru,februar,"done at brussels, 26 february 2002",888
klass,klass,class,887
orsak,orsak,cause,885
spredning,spredning,spread,885
registrer,registrera,register,883
forsker,forskere,researchers,881
university,university,university graz,879
dersom,dersom,"if there is an error <g id=""2"">in the debit account</g>, <bx id=""3""/>the nb",871
martin,martin,martin,871
steget,steget,step,871
donald,donald,donald,870
fraråd,fraråde,advise against,870
norr,norr,north,870
forklar,forklarar,calling up the patient explaining the formalities,867
lett,lett,mild,866
fremtid,fremtid,future,865
läget,läget,what's up,865
räkn,räkna,count,865
kvartalet,kvartalet,quarter,864
tisdag,tisdag,tuesday,864
måndag,måndag,monday,863
bäst,bäst,best,862
kjent,kjent,they knew he was a seal,860
nordisk,nordisk,nordic countries,859
jens,jensen,emil jensen,858
plass,plass,place,858
varandr,varandra,each other,856
augusti,augusti,august,855
följd,följd,result,854
historisk,historisk,historic,854
rekommendation,rekommendation,recommendation,854
fest,fest,party,853
hitt,hitt,hitt,851
hatt,hatt,hat,850
swedish,swedish,english,850
tiltag,tiltag,perhaps make more actions,850
mang,manga,manga,849
politiet,politiet,kristin and the police on their way to bergström's cabin,849
infört,infört,engaged,848
särskilt,särskilt,special,846
hanter,hantera,customer list,845
sport,sport,sport,843
butik,butik,shop,842
modell,modell,model,842
netop,netop,precisely,842
norwegian,norwegian,norwegian,842
timm,timm,timm,841
smittat,smittats,infected,840
kollektivtrafik,kollektivtrafik,transit,839
robert,robert,robert,839
grænsern,grænserne,the borders,838
problem,problema,problem,838
medborg,medborgare,national,837
negativ,negativ,negative,837
ager,ager,avena fatua,836
kropp,kropp,body,834
myndigheten,myndighetene,the authorities,834
titt,titt,prospace peek,834
fuld,fuld,full,832
især,især,especially,832
karantæn,karantæne,quarantine,832
wuhan,wuhan,wuhan,832
allvar,allvarlig,serious,831
dødstal,dødstal,death toll,830
folksamling,folksamling,in the middle of a crowd,828
smittespredning,smittespredning,spread of infection,828
refuge,refugee,7 who has created the refugee compact,826
fart,fart,speed,824
uppgift,uppgift,task,820
registreret,registreret,registered,819
danskern,danskerne,the danes,817
indført,indført,introduced,817
utskottet,utskottet,the executive committee,816
bord,bord,tables,815
stället,stället,"acute myocardial infarction, myocardial infarction",815
fortell,fortelle,tell,812
laget,laget,position,812
berlingsk,berlingske,i quote in english from the berlingske tidende,811
motsvar,motsvara,correspond,811
venstr,venstre,left,811
krig,krig,war,807
macron,macron,macron,807
kolleg,kollega,colleague,805
øvrig,øvrig,otherwise,804
danish,danish,danish,802
tving,tvinga,enforce,802
halv,halv,one half,801
løbet,løbet,over,799
mening,mening,meaning,799
sæson,sæson,season,799
området,området,area,797
bidrag,bidrag,contribution,793
kanskj,kanskje,maybe a bit late to run home to mommy,792
kultur,kultur,culture,792
overblik,overblik,overview,792
sydkore,sydkorea,south korea,792
debat,debata,debate,791
genåbning,genåbning,reopening,791
enig,enig,agree,786
mand,mand,mand amt,786
præsident,præsident,president,785
passager,passagerar,passengers,784
diskuter,diskutera,to discuss (generic,782
förslag,förslag,proposals,782
sygdomm,sygdomme,diseases,782
barn,barna,barna,780
tatt,tatt,footertext 1 to change,780
besøg,besøg,visit plugin homepage,779
koronaviruset,koronaviruset,the coronavirus,779
kild,kilde,source,778
london,london,london,778
lufthavn,lufthavn,the authority received comments from lista lufthavn as,776
medicinsk,medicinsk,medical,773
käll,käll,source,772
enorm,enorm,huge,771
alen,alene,alone,770
hamn,hamn,harbour,770
snabb,snabb,fast,769
besked,besked,notification,768
globalt,globalt,global,768
nation,nationen,the nation,766
alltså,alltså,so,765
eller,ellers,otherwise,764
stefan,stefan,stefan,764
distansering,distansering,social distancing,759
fantastisk,fantastisk,fantastic,759
indbygger,indbyggere,inhabitants,758
registrert,registrert,registered,757
känd,känd,known,756
organisation,organisation,organization,755
drabbat,drabbats,affected,754
investering,investering,investment,754
eksempelvis,eksempelvis,for example,752
hindr,hindra,inhibit,751
punk,punk,punk,751
herund,herunder,"7 styrelser og institutioner, herunder øresundsbrokonsortiet (7 agencies and institutions, including øresundsbrokonsortiet",750
helst,helst,any,747
jobbet,jobbet,for the work,747
formand,formand,mr president,746
resultatet,resultatet,result,746
international,internationale,international,745
utsläpp,utsläpp,flue,745
såled,således,therefore,744
imidlertid,imidlertid,however,741
dødsfald,dødsfald,deaths,740
engelsk,engelsk,english,740
nuværend,nuværende,current,739
samarbet,samarbeta,collaborate,739
välkomn,välkomna,welcome,739
däremot,däremot,however,735
medlemm,medlemmar,members,735
vinn,vinn,how to win (specific,735
skån,skåne,skåne,733
insjukn,insjukna,of contracting cardiovascular disease before the age of 90,732
jord,jord,flea beetle,732
rädd,rädd,scared,730
tilfell,tilfelle,case,728
risker,riskera,adventure,727
færre,færre,fewer,726
frisk,frisk,mesic,726
såkald,såkaldt,so-called,726
befin,befinna,being in the aircraft,725
hvorf,hvorfor,why,725
bedöm,bedöma,grade,724
regn,regn,rain,724
ryssland,ryssland,russia,724
salg,salg,sales,724
förklar,förklara,explain,723
janu,januar,january [bank accounts / cash,723
bred,bred,wide,722
højer,højer,higher,721
swed,swede,swede,720
anbefal,anbefala,recommend,718
planlag,planlagde,planned,718
sundhedsstyr,sundhedsstyrelse,health board,718
interess,interessa,interest,717
utsat,utsatt,pinned belly,717
intervju,intervju,interview,716
målet,målet,the aim,716
talet,talet,the number,716
døgn,døgn,days,715
relativt,relativt,relative,715
alligevel,alligevel,anyway,714
german,german,german,714
scanpix,scanpix,scanpix,714
altid,altid,snap altid,713
grekland,grekland,greece,713
frivil,frivillig,not required,712
holland,holland,netherlands,712
telefon,telefon,phone,711
begg,begga,both,709
brist,brist,deficiency,709
eventuell,eventuell,"voucher code, if applicable",709
selvfølge,selvfølgelig,of course not,709
særligt,særligt,saerligt anvendelsesformaal,708
styrk,styrka,strength,708
tidning,tidning,newspaper,707
trygg,trygg,secure,707
ende,endelig,finally,705
givet,givet,givet,705
frygt,frygt,fear,704
göteborg,göteborg,gothenburg,704
kostnad,kostnaden,the cost,704
forstå,forstå,understand,703
lägr,lägre,lower,702
ekonomi,ekonomi,finances,701
lockdown,lockdown,respondus lockdown browser,700
presenter,presentera,"present,to",699
uppsal,uppsala,uppsala,699
niveau,niveau,niveau,697
välj,välj,välj,697
vanske,vanskelig,vanskelig,697
støtte,støtte,støtte,696
högr,högra,högra,695
uppg,uppge,uppge,694
upptäck,upptäcka,upptäcka,694
samled,samlede,samlede,692
slår,slår,slår,691
ekspert,ekspert,ekspert,690
lukked,lukkede,lukkede,690
anbefaling,anbefaling,anbefaling,689
eldr,eldre,eldre,688
musik,musik,musik,688
främst,främst,främst,685
sakn,sakna,sakna,685
februari,februari,februari,683
lägg,lägg,lägg,683
laver,lavere,lavere,683
absolut,absolut,absolut,682
negativt,negativt,negativt,682
sommer,sommeren,sommeren,682
förbundskansl,förbundskansler,förbundskansler,681
säsong,säsong,säsong,681
vurdering,vurdering,vurdering,681
ändr,ändra,ändra,680
jenny,jenny,jenny,680
varn,varna,varna,680
fælles,fælles,fælles,679
lyft,lyft,lyft,679
öppet,öppet,öppet,677
publisert,publisert,publisert,676
seri,seria,seria,676
forbud,forbud,forbud,675
bestemt,bestemt,bestemt,674
kapacitet,kapacitet,capacity,672
streng,streng,nato classification,672
avtal,avtal,agreement,671
østrig,østrig,østrig/land,671
press,pressa,slurry u,671
dialog,dialog,dialog,668
dödstal,dödstal,mortality rate,666
luft,luft,air,665
faldet,faldet,fallen,663
opfordr,opfordre,encourage,663
plad,plade,plate,663
skab,skab,cabinet,663
städ,städ,anvil,663
priv,priv,priv,662
selvom,selvom,though,662
dødsfall,dødsfall,deaths,661
januari,januari,january,661
hospital,hospital,hospital,659
ekonomin,ekonomin,economy,658
nærmer,nærmer,approaching,657
sesong,sesong,season,657
expert,experten,testimonials,656
rekk,rekka,rack,655
ring,ringa,negligible,655
spår,spår,track,655
avgör,avgör,determine the position,654
oliv,oliva,oliva,654
premiärminist,premiärminister,prime minister,654
serum,serum,serum,654
foran,foran,with the documents in front of her,653
klockan,klockan,time,653
melding,melding,message,652
tyskern,tyskerne,näslund says that they can wait another 24 hours before further involving the germans,649
bedömning,bedömning,evaluation,647
navn,navn,name,647
crisis,crisis,genom,646
længe,længe,long,646
normal,normala,normal,646
ligesom,ligesom,like,645
ansvar,ansvara,group sense,644
gået,gået,gone,644
gitt,gitt,given,644
samfundet,samfundet,folkhälsan,644
infektion,infektion,infection,643
samarbejd,samarbejde,cooperation,643
desud,desuden,moreover,642
turism,turism,tourism,640
forbered,forbered,prepare,637
precis,precis,precising definition,637
statsepidemiolog,statsepidemiolog,state epidemiologist,636
bornholm,bornholm,bornholm,635
bayern,bayern,bayern,634
hjælpe,hjælpe,help,632
twitt,twitter,twitter,631
avlidit,avlidit,their son had died,630
nærmest,nærmest,closest,626
sætte,sætte,put,626
därmed,därmed,and thus,624
konkret,konkret,concrete,623
liksom,liksom,liksom,623
skick,skick,condition,622
list,lista,list,621
asylum,asylum,asylum,620
talt,talt,talt,618
ikkj,ikkje,no,617
podcastepisod,podcastepisode,podcast episode,617
christens,christensen,christensen,616
utvikling,utvikling,organisational development,616
løpet,løpet,she's planning a press conference for tomorrow,615
lösning,lösning,solution,615
lund,lund,lund,615
medicin,medicin,medical,615
viruss,virussen,viruses,615
producer,producera,create,614
dött,dött,dead,613
gikk,gikk,went,612
personal,personale,personnel,612
internasjonal,internasjonal,"responsible for sales, marketing and international business",611
erbjud,erbjuda,offer,610
komment,kommentar,comment,609
dramatisk,dramatisk,theatre,607
hånd,hånd,hand,607
hjemmesid,hjemmesida,website,607
analys,analysar,analyzes,606
testning,testning,test,606
visst,visst,certain,606
henrik,henrik,henrik,605
hvilk,hvilke,what kind of question is that,604
igennem,igennem,through,604
australi,australia,australia,603
kvind,kvinde,woman,603
aktiv,aktiv,active,602
införd,införda,introduced notes,602
stemm,stemma,stemma,602
stigend,stigende,rising,600
tung,tung,heavy,600
utomhus,utomhus,outdoor,600
märk,märka,tag,599
inres,inresa,admission,598
johnson,johnson,johnson,597
mild,mild,bland,596
midlertid,midlertid,however,595
avrådan,avrådan,uses advised against,594
färr,färre,fewer,593
industri,industri,industrial,592
journalist,journalist,journalist,592
karolinsk,karolinska,karolinska,592
øjeblikket,øjeblikket,currently,592
udvalg,udvalg,committee,592
rekommender,rekommendera,recommended,591
vest,vest,vest,591
ankomst,ankomst,arrival,590
markedet,markedet,market,590
västr,västra,west,590
förbered,förbered,prepare,589
vidt,vidt,widely,589
britisk,britisk,british,588
finansiell,finansiell,financial,586
imod,imod,imod,586
sats,satsa,invest,586
spørgsmål,spørgsmål,questions,586
takt,takt,rate,586
uppdrag,uppdrag,positions,583
delvis,delvis,partially,582
kvalitet,kvalitet,quality,582
lyck,lycka,happiness,581
miljö,miljö,environment,581
presskonfer,presskonferens,press conference,581
statistik,statistik,statistics,581
slipp,slipp,eliminates copper dust,580
klinisk,klinisk,clinical,579
passer,passera,exceed,579
tallen,tallene,the numbers,579
varm,varm,warm,579
åter,åter,rewind,578
påvist,påvist,proven,577
sket,sket,klace actually didn't give a shit,577
